codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario,geohash
4100103,Abatiá,-23.3049,-50.3133,0,41,7401,43,America/Sao_Paulo,6gu5rj
4100202,Adrianópolis,-24.6606,-48.9922,0,41,7403,41,America/Sao_Paulo,6gt5tn
4100301,Agudos do Sul,-25.9899,-49.3343,0,41,7405,41,America/Sao_Paulo,6gkujk
4100400,Almirante Tamandaré,-25.3188,-49.3037,0,41,7407,41,America/Sao_Paulo,6gkzyn
4100459,Altamira do Paraná,-24.7983,-52.7128,0,41,8455,44,America/Sao_Paulo,6gddbm
4128625,Alto Paraíso,-26.1146,-52.7469,0,41,5523,44,America/Sao_Paulo,6g67rt
4100608,Alto Paraná,-23.1312,-52.3189,0,41,7409,44,America/Sao_Paulo,6gfu3m
4100707,Alto Piquiri,-24.0224,-53.44,0,41,7411,44,America/Sao_Paulo,6g9zrf
4100509,Altônia,-23.8759,-53.8958,0,41,7951,44,America/Sao_Paulo,6gc8jt
4100806,Alvorada do Sul,-22.7813,-51.2297,0,41,7413,43,America/Sao_Paulo,6ggw6h
4100905,Amaporã,-23.0943,-52.7866,0,41,7415,44,America/Sao_Paulo,6gfkwg
4101002,Ampére,-25.9168,-53.4686,0,41,7417,46,America/Sao_Paulo,6g3ux3
4101051,Anahy,-24.6449,-53.1332,0,41,5463,45,America/Sao_Paulo,6gd5yc
4101101,Andirá,-23.0533,-50.2304,0,41,7419,43,America/Sao_Paulo,6gukbg
4101150,Ângulo,-23.1946,-51.9154,0,41,5509,44,America/Sao_Paulo,6ggh49
4101200,Antonina,-25.4386,-48.7191,0,41,7421,41,America/Sao_Paulo,6gmr73
4101309,Antônio Olinto,-25.9804,-50.1972,0,41,7423,42,America/Sao_Paulo,6gkk1w
4101408,Apucarana,-23.55,-51.4635,0,41,7425,43,America/Sao_Paulo,6gg6hb
4101507,Arapongas,-23.4153,-51.4259,0,41,7427,43,America/Sao_Paulo,6gg6vc
4101606,Arapoti,-24.1548,-49.8285,0,41,7429,43,America/Sao_Paulo,6gswd4
4101655,Arapuã,-24.3132,-51.7856,0,41,830,43,America/Sao_Paulo,6gejtt
4101705,Araruna,-23.9315,-52.5021,0,41,7431,44,America/Sao_Paulo,6gdxv7
4101804,Araucária,-25.5859,-49.4047,0,41,7435,41,America/Sao_Paulo,6gky7y
4101853,Ariranha do Ivaí,-24.3857,-51.5839,0,41,832,43,America/Sao_Paulo,6gem60
4101903,Assaí,-23.3697,-50.8459,0,41,7437,43,America/Sao_Paulo,6ggg4c
4102000,Assis Chateaubriand,-24.4168,-53.5213,0,41,7953,44,America/Sao_Paulo,6g9vn5
4102109,Astorga,-23.2318,-51.6668,0,41,7439,44,America/Sao_Paulo,6gg7b6
4102208,Atalaia,-23.1517,-52.0551,0,41,7441,44,America/Sao_Paulo,6gfur3
4102307,Balsa Nova,-25.5804,-49.6291,0,41,7443,41,America/Sao_Paulo,6gkwqx
4102406,Bandeirantes,-23.1078,-50.3704,0,41,7445,43,America/Sao_Paulo,6guhtc
4102505,Barbosa Ferraz,-24.0334,-52.004,0,41,7447,44,America/Sao_Paulo,6gep28
4102703,Barra do Jacaré,-23.116,-50.1842,0,41,7451,43,America/Sao_Paulo,6guk6p
4102604,Barracão,-26.2502,-53.6324,0,41,7449,49,America/Sao_Paulo,6g3fet
4102752,Bela Vista da Caroba,-25.8842,-53.6725,0,41,834,46,America/Sao_Paulo,6g3udx
4102802,Bela Vista do Paraíso,-22.9937,-51.1927,0,41,7453,43,America/Sao_Paulo,6ggt5n
4102901,Bituruna,-26.1607,-51.5518,0,41,7455,42,America/Sao_Paulo,6g774v
4103008,Boa Esperança,-24.2467,-52.7876,0,41,7457,44,America/Sao_Paulo,6gdqnf
4103024,Boa Esperança do Iguaçu,-25.6324,-53.2108,0,41,5471,46,America/Sao_Paulo,6g6njj
4103040,Boa Ventura de São Roque,-24.8688,-51.6276,0,41,836,42,America/Sao_Paulo,6ge690
4103057,Boa Vista da Aparecida,-25.4308,-53.4117,0,41,7981,45,America/Sao_Paulo,6g6p2d
4103107,Bocaiúva do Sul,-25.2066,-49.1141,0,41,7459,41,America/Sao_Paulo,6gt0d7
4103156,Bom Jesus do Sul,-26.1958,-53.5955,0,41,838,46,America/Sao_Paulo,6g3fur
4103206,Bom Sucesso,-23.7063,-51.7671,0,41,7461,43,America/Sao_Paulo,6gg1nh
4103222,Bom Sucesso do Sul,-26.0731,-52.8353,0,41,9979,46,America/Sao_Paulo,6g67tt
4103305,Borrazópolis,-23.9366,-51.5875,0,41,7463,43,America/Sao_Paulo,6gerf4
4103354,Braganey,-24.8173,-53.1218,0,41,7983,45,America/Sao_Paulo,6gd4z4
4103370,Brasilândia do Sul,-24.1978,-53.5275,0,41,5521,44,America/Sao_Paulo,6g9ymf
4103404,Cafeara,-22.789,-51.7142,0,41,7465,43,America/Sao_Paulo,6ggnr5
4103453,Cafelândia,-24.6189,-53.3207,0,41,7985,45,America/Sao_Paulo,6gd5fw
4103479,Cafezal do Sul,-23.9005,-53.5124,0,41,5491,44,America/Sao_Paulo,6gcbn3
4103503,Califórnia,-23.6566,-51.3574,0,41,7467,43,America/Sao_Paulo,6gg3rm
4103602,Cambará,-23.0423,-50.0753,0,41,7469,43,America/Sao_Paulo,6gukut
4103701,Cambé,-23.2766,-51.2798,0,41,7471,43,America/Sao_Paulo,6gge94
4103800,Cambira,-23.589,-51.5792,0,41,7473,43,America/Sao_Paulo,6gg3f3
4103909,Campina da Lagoa,-24.5893,-52.7976,0,41,7475,44,America/Sao_Paulo,6gdkne
4103958,Campina do Simão,-25.0802,-51.8237,0,41,840,42,America/Sao_Paulo,6ge1kd
4104006,Campina Grande do Sul,-25.3044,-49.0551,0,41,7477,41,America/Sao_Paulo,6gt059
4104055,Campo Bonito,-25.0294,-52.9939,0,41,8475,45,America/Sao_Paulo,6gd3d5
4104105,Campo do Tenente,-25.98,-49.6844,0,41,7479,41,America/Sao_Paulo,6gksjq
4104204,Campo Largo,-25.4525,-49.529,0,41,7481,41,America/Sao_Paulo,6gkz0y
4104253,Campo Magro,-25.3687,-49.4501,0,41,842,41,America/Sao_Paulo,6gkzdt
4104303,Campo Mourão,-24.0463,-52.378,0,41,7483,44,America/Sao_Paulo,6gdz0n
4104402,Cândido de Abreu,-24.5649,-51.3372,0,41,7485,43,America/Sao_Paulo,6gekrb
4104428,Candói,-25.5758,-52.0409,0,41,5499,42,America/Sao_Paulo,6g6yxb
4104451,Cantagalo,-25.3734,-52.1198,0,41,8451,42,America/Sao_Paulo,6g6ztu
