categoria,descricao_busca
Grãos E Básicos,ARROZ BRANCO
Grãos E Básicos,ARROZ PARBOILIZADO
Grãos E Básicos,ARROZ INTEGRAL
Grãos E Básicos,FEIJAO CARIOCA
Grãos E Básicos,FEIJAO PRETO
Grãos E Básicos,FEIJAO VERMELHO
Grãos E Básicos,FEIJAO FRADINHO
Grãos E Básicos,ACUCAR CRISTAL
Grãos E Básicos,ACUCAR REFINADO
Grãos E Básicos,ACUCAR MASCAVO
Grãos E Básicos,SAL REFINADO
Grãos E Básicos,SAL GROSSO
Farinhas E Milho,FARINHA DE TRIGO
Farinhas E Milho,FARINHA DE MANDIOCA
Farinhas E Milho,FUBA MIMOSO
Farinhas E Milho,FLOCAO
Farinhas E Milho,AMIDO MILHO
Farinhas E Milho,POLVILHO DOCE
Farinhas E Milho,POLVILHO AZEDO
Óleos E Gorduras,OLEO SOJA
Óleos E Gorduras,OLEO GIRASSOL
Óleos E Gorduras,OLEO MILHO
Óleos E Gorduras,AZEITE OLIVA
Óleos E Gorduras,MARGARINA
Óleos E Gorduras,MANTEIGA
Óleos E Gorduras,BANHA
Café E Leite,CAFE MOIDO
Café E Leite,CAFE SOLUVEL
Café E Leite,LEITE INTEGRAL
Café E Leite,LEITE DESNATADO
Café E Leite,LEITE SEMIDESNATADO
Café E Leite,LEITE EM PO
Café E Leite,ACHOCOLATADO
Café E Leite,CREME DE LEITE
Café E Leite,LEITE CONDENSADO
Café E Leite,REQUEIJAO
Café E Leite,IOGURTE
Massas,MACARRAO ESPAGUETE
Massas,MACARRAO PARAFUSO
Massas,MACARRAO PENNE
Massas,MACARRAO INSTANTANEO
Proteínas,OVOS
Proteínas,LINGUICA CALABRESA
Proteínas,LINGUICA TOSCANA
Proteínas,LINGUICA MISTA
Proteínas,SALSICHA
Proteínas,MORTADELA
Proteínas,PRESUNTO
Proteínas,MUSSARELA
Proteínas,SARDINHA
Proteínas,ATUM
Enlatados E Molhos,MOLHO TOMATE
Enlatados E Molhos,EXTRATO TOMATE
Enlatados E Molhos,MILHO VERDE
Enlatados E Molhos,ERVILHA
Enlatados E Molhos,SELETA LEGUMES
Limpeza,SABAO EM PO
Limpeza,SABAO BARRA
Limpeza,DETERGENTE LIQUIDO
Limpeza,AMACIANTE
Limpeza,AGUA SANITARIA
Limpeza,DESINFETANTE
Limpeza,MULTIUSO
Limpeza,ESPONJA ACO
Limpeza,SACO LIXO
Limpeza,ALCOOL 70
Limpeza,PAPEL TOALHA
Higiene,CREME DENTAL
Higiene,ESCOVA DENTAL
Higiene,SABONETE
Higiene,SHAMPOO
Higiene,CONDICIONADOR
Higiene,DESODORANTE
Higiene,PAPEL HIGIENICO
Higiene,ABSORVENTE
Higiene,FRALDA
Higiene,APARELHO BARBEAR
Higiene,HASTES FLEXIVEIS
Higiene,FIO DENTAL
Padaria E Biscoitos,PAO DE FORMA
Padaria E Biscoitos,BISCOITO AGUA E SAL
Padaria E Biscoitos,CREAM CRACKER
Padaria E Biscoitos,BISCOITO MAIZENA
Padaria E Biscoitos,BISCOITO RECHEADO
Temperos E Condimentos,VINAGRE
Temperos E Condimentos,MAIONESE
Temperos E Condimentos,CALDO CARNE
Temperos E Condimentos,CALDO GALINHA
Temperos E Condimentos,CALDO LEGUMES
Bebidas,COCA COLA
Bebidas,GUARANA
Bebidas,SUCO PO
Bebidas,SUCO INTEGRAL
Bebidas,SUCO UVA
Bebidas,SUCO LARANJA
